accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr,avg_file_size_kb
0.7805343511450382,0.764563679245283,0.8564307078763709,0.810377358490566,0.71875,0.8327678138633059,0.5159902919224771,0.823147295106132,859,368,144,201,3,Inception_DenseNet169_Attention,CR1_original,CR100,504.245693359375
0.6539440203562341,0.634850383254717,0.7727272727272727,0.689622641509434,0.580078125,0.7288135593220338,0.2581887762402796,0.6920990566037736,731,297,215,329,3,Inception_DenseNet169_Attention,CR1_original,CR500,359.258251953125
0.5928753180661578,0.573411704009434,0.7297592997811816,0.629245283018868,0.517578125,0.6757852077001013,0.13947525657700602,0.6000709389740566,667,265,247,393,3,Inception_DenseNet169_Attention,CR1_original,CR1000,293.458203125
0.7567567567567568,0.6836171467332273,0.7311220889202541,0.9691300280636108,0.3981042654028436,0.833467417538214,0.4753643215504021,0.8123853773661583,1036,252,381,33,4,Inception_DenseNet169_Attention,CR1_original,CR1_original,483.366083984375
0.7620446533490012,0.690403988904603,0.7354609929078014,0.9700654817586529,0.4107424960505529,0.836627672448568,0.4881977389716124,0.8116893288821697,1037,260,373,32,4,Inception_DenseNet169_Attention,CR1_original,CR15,559.86873046875
0.7620446533490012,0.6910483140405245,0.7361308677098151,0.9681945743685687,0.41390205371248023,0.8363636363636363,0.48722032472839927,0.8096011834302037,1035,262,371,34,4,Inception_DenseNet169_Attention,CR1_original,CR25,541.44939453125
0.7591069330199764,0.6877431920990369,0.7341862117981521,0.9663236669784846,0.40916271721958924,0.8344103392568659,0.4794318082605675,0.806579800998113,1033,259,374,36,4,Inception_DenseNet169_Attention,CR1_original,CR50,505.3709765625
0.7643948296122209,0.6977516599500204,0.7420289855072464,0.9579045837231057,0.43759873617693523,0.8362596978358514,0.4880601644659751,0.8114248009020552,1024,277,356,45,4,Inception_DenseNet169_Attention,CR1_original,CR100,447.577724609375
0.7602820211515864,0.7054310993280398,0.753256704980843,0.9195509822263798,0.4913112164296998,0.8281381634372368,0.46955490790924753,0.7966954691824903,983,311,322,86,4,Inception_DenseNet169_Attention,CR1_original,CR500,320.901328125
0.7197414806110458,0.6538281927714404,0.7182890855457227,0.9111318989710009,0.39652448657187994,0.8032989690721649,0.3694781385350987,0.7619070841775324,974,251,382,95,4,Inception_DenseNet169_Attention,CR1_original,CR1000,256.31470703125
0.9275527666856817,0.908269073285801,0.9103101424979044,0.9819168173598554,0.8346213292117465,0.9447585906916051,0.8450685652047993,0.9850778806621744,1086,540,107,20,5,Inception_DenseNet169_Attention,CR1_original,CR1_original,559.8022265625
0.9298345693097547,0.9110395454329483,0.9126784214945424,0.9828209764918626,0.839258114374034,0.9464518937744885,0.8500006691276674,0.9846642313529407,1087,543,104,19,5,Inception_DenseNet169_Attention,CR1_original,CR15,610.179267578125
0.9281232173416999,0.910324742657026,0.9138513513513513,0.9783001808318263,0.8423493044822257,0.9449781659388646,0.8457761238065944,0.9850101036638708,1082,545,102,24,5,Inception_DenseNet169_Attention,CR1_original,CR25,595.4264453125
0.9275527666856817,0.9089105092078895,0.911690496215307,0.9801084990958409,0.8377125193199382,0.9446623093681917,0.8448069780887865,0.9849765645306898,1084,542,105,22,5,Inception_DenseNet169_Attention,CR1_original,CR50,566.379013671875
0.9321163719338277,0.9170171971905385,0.9221556886227545,0.9746835443037974,0.8593508500772797,0.9476923076923077,0.8538861814492685,0.984360282958487,1078,556,91,28,5,Inception_DenseNet169_Attention,CR1_original,CR100,510.67013671875
0.8568168853394181,0.8243087444904986,0.8439259855189059,0.9484629294755877,0.7001545595054096,0.8931460195828012,0.6891245248334837,0.9150425807245011,1049,453,194,57,5,Inception_DenseNet169_Attention,CR1_original,CR500,345.7420703125
0.8054763262977752,0.7669442495758697,0.8042959427207638,0.9141048824593129,0.6197836166924265,0.8556919170545916,0.5719680794728091,0.868146487754024,1011,401,246,95,5,Inception_DenseNet169_Attention,CR1_original,CR1000,288.189375
