accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr
0.7861339600470035,0.7372867704975934,0.7756059421422987,0.9279700654817586,0.5466034755134281,0.8449744463373083,0.5307484969291463,0.82386352720722,992,346,287,77,4,Inception_DenseNet169_Attention,Mixed,CR25
0.7796709753231492,0.730530962335058,0.7715179968701096,0.9223573433115061,0.5387045813586098,0.8402215594375799,0.5152305561396671,0.8266595436227329,986,341,292,83,4,Inception_DenseNet169_Attention,Mixed,CR50
0.7914218566392479,0.7450401003728515,0.7819905213270142,0.9260991580916744,0.5639810426540285,0.8479657387580299,0.5426224619539475,0.8389556612682268,990,357,276,79,4,Inception_DenseNet169_Attention,Mixed,CR100
0.7555816686251469,0.7126428118585382,0.7656631407648494,0.8802619270346118,0.5450236966824644,0.8189730200174065,0.4588438318546784,0.8099462520523084,941,345,288,128,4,Inception_DenseNet169_Attention,Mixed,CR500
0.7121034077555817,0.6538688325449218,0.7218390804597701,0.8811973807296539,0.4265402843601896,0.793597304128054,0.3516987726398862,0.7469649478259199,942,270,363,127,4,Inception_DenseNet169_Attention,Mixed,CR1000
0.9241300627495722,0.904273724045602,0.907112970711297,0.9801084990958409,0.8284389489953632,0.9421990438939591,0.8375951664137965,0.9800791523543074,1084,536,111,22,5,Inception_DenseNet169_Attention,Mixed,CR1_original
0.9258414147176269,0.9062713986657015,0.9087102177554439,0.9810126582278481,0.8315301391035549,0.9434782608695652,0.8413329178831267,0.9799547780687609,1085,538,109,21,5,Inception_DenseNet169_Attention,Mixed,CR15
0.9247005134055905,0.90504652157265,0.9078726968174204,0.9801084990958409,0.8299845440494591,0.9426086956521739,0.8387963636926773,0.9799547780687609,1084,537,110,22,5,Inception_DenseNet169_Attention,Mixed,CR25
0.9247005134055905,0.90504652157265,0.9078726968174204,0.9801084990958409,0.8299845440494591,0.9426086956521739,0.8387963636926773,0.9797172092087281,1084,537,110,22,5,Inception_DenseNet169_Attention,Mixed,CR50
0.930405019965773,0.9163023944146164,0.923407917383821,0.9701627486437613,0.8624420401854714,0.9462081128747796,0.8499077781324821,0.979504794698581,1073,558,89,33,5,Inception_DenseNet169_Attention,Mixed,CR100
0.8716486023958927,0.862361686012225,0.8986425339366516,0.8978300180831826,0.8268933539412674,0.898236092265943,0.7244915578811637,0.9425726192106566,993,535,112,113,5,Inception_DenseNet169_Attention,Mixed,CR500
0.8282943525385055,0.8068362535670266,0.8466838931955211,0.8887884267631103,0.7248840803709428,0.8672254080282311,0.626165892414015,0.8915456230033735,983,469,178,123,5,Inception_DenseNet169_Attention,Mixed,CR1000
